Gene,label_encoded,BrainSpinalcordcervicalc1_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,FallopianTube_GTExTPM,Liver_GTExTPM,EsophagusMucosa_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,MuscleSkeletal_GTExTPM,Testis_GTExTPM,Spleen_GTExTPM,Pituitary_GTExTPM,WholeBlood_GTExTPM,AdrenalGland_GTExTPM,GDI_Phred,Effect_SBP_Median,Effect_PP_Median,Effect_DBP_Median,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,ExomiserScore_IncreasedBP_MultiHPOTerms,ExomiserScore_DecreasedBP_MultiHPOTerms,RVIS_genic_intolerance
NDUFV2,1.0,50.9102,82.218,111.358,50.5888,99.0883,72.4749,138.145,80.28,143.358,67.9897,52.3538,48.7008,20.4194,85.9969,3.9784,0.0023,0.0022,-0.0061,0.287445456,0.007630223,0.104239245,0.500011668,0.500372421,0.13
PDE4A,1.0,3.91662,7.33943,5.92391,14.2888,1.23723,3.44031,15.5605,16.4294,12.1911,32.6212,11.6078,5.87592,5.28874,6.29746,6.03083,-0.003,0.0097,-0.0032,0.710803688,0.976417636,0.121624721,0.0,0.0,-1.11
KEAP1,1.0,39.7786,18.5452,22.615,43.4659,21.2222,50.7641,36.7936,52.9517,88.3333,31.1007,34.0948,34.9408,11.5759,37.5018,0.90037,0.0061,0.0223,0.0044,0.764716923,0.251629058,0.152685426,0.507082169,0.509030267,-1.13
BRD4,1.0,9.5732,18.73,10.2277,32.7676,12.73,24.0635,28.2132,22.2823,24.9878,34.6925,30.851,24.5031,19.5028,19.6762,2.96128,-0.0351,0.0113,-0.01515,0.831385493,0.999993446,0.088841418,0.500004569,0.500060242,-1.48
PDE4C,1.0,0.358716,3.88782,1.09208,4.82819,0.447421,1.60614,0.683587,0.188661,1.16371,3.79138,2.29922,3.30197,0.0281276,0.310148,8.26686,-0.00645,-0.0104,-0.0057,0.522324622,4.89e-05,0.080689965,0.500070756,0.50260452,0.42
GRIK5,1.0,5.25308,10.4276,1.09626,11.9139,0.227091,1.79211,0.197888,0.189491,0.354901,86.9284,1.91981,33.6877,0.286419,0.510211,2.53978,-0.0004,-0.0003,-0.001,0.670620084,0.917779688,0.257681701,0.509133101,0.506115038,-1.13
GRIN2D,1.0,0.787343,0.356308,0.16909,1.21012,0.132584,0.234945,0.313998,6.80052,0.0586515,2.87621,0.494843,0.571317,0.18225,0.544408,2.33202,-0.0006,0.0021,0.0154,0.739532948,0.998648757,0.137368134,0.500534109,0.501601548,-0.8184285714285718
INSR,1.0,13.4636,15.9292,17.1603,43.6946,22.9703,5.77095,16.1545,7.83435,17.5548,12.5475,90.8835,29.4736,1.44396,28.0393,2.59553,-0.0041,-0.0006,-0.0024,0.743839204,0.186547844,0.388304341,0.501230107,0.507302998,-2.14
ADORA3,1.0,14.8162,0.483078,0.687136,3.83222,0.472954,1.19194,0.136191,0.0,0.239868,2.32545,4.9652,2.28787,2.24752,7.99497,0.91844,-0.00685,-0.0042,0.0037,0.123297259,0.006057306,0.0682285,0.524665611,0.843638398,-0.09
ATP1A1,1.0,100.846,498.37,70.317,131.992,34.1715,221.73,269.533,208.799,41.7337,118.85,70.6004,178.044,38.7864,112.426,1.16887,-0.0054,-0.0015,-0.0012,0.824708164,0.99999385,0.498852198,0.501644697,0.508380947,-1.0
IL6R,1.0,5.5952,4.1569,3.64374,25.9063,38.0337,7.38618,6.70894,4.54585,67.242,6.17905,23.9987,13.5651,52.6906,7.56139,7.10856,-0.0053,0.0027,0.003,0.54232949,0.047869037,0.221850675,0.500636703,0.502625058,-0.16
CHRNB2,1.0,0.834177,0.116154,0.0208483,0.0737823,0.0428274,0.143031,0.130299,0.0780719,0.0266892,1.97427,0.0851975,7.07578,0.0539968,0.112605,0.82078,0.0338,0.0263,-0.0099,0.646412015,0.720254345,0.196939326,0.500021951,0.517008159,-0.69
ATP1A4,1.0,0.0859929,0.0350559,0.0684938,0.13657,0.0101497,0.0592329,0.0634868,0.0,0.849222,27.8959,0.223699,0.136271,0.0491981,0.0232253,5.01673,-0.00405,0.0028,-0.002,0.53460449,1.9e-11,0.077686188,0.500293305,0.510034014,0.55
ADORA1,1.0,43.1844,2.70811,3.55036,1.40266,0.158664,0.812021,0.045492,0.302798,0.708883,35.5194,6.46529,1.59342,0.0399672,0.21497,0.97171,-0.0115,0.0007,-0.0114499999999999,0.572527647,0.021258038,0.255110487,0.500337338,0.501445773,-0.2
REN,1.0,0.0,7.60327,0.0,1.80489,0.373362,0.204322,0.0,0.0668369,0.0,1.42401,0.163903,0.242582,0.0,0.663159,1.23092,0.00755,0.0173,0.0032,0.352524012,0.006604139,0.10559924,0.605228118,1.0,-0.4
KCNK2,1.0,2.20775,0.642603,0.0854284,1.39807,0.0143668,0.268337,0.0215678,95.7983,0.431231,0.71059,0.0292021,0.193146,0.0,49.3798,1.00181,0.0046,0.0008,0.001,0.836621523,0.339842885,0.200322211,0.0,0.0,-0.45
PARP1,1.0,67.5899,18.4726,25.3978,30.7528,13.3773,28.6775,173.97,54.2171,30.8979,50.2458,57.1035,46.376,8.76672,26.1555,10.61131,0.0035,0.0071,0.00545,0.705665529,0.006996931,0.194514712,0.500086197,0.503294681,-0.97
CHRM3,1.0,0.0682279,0.507317,0.0245066,0.506031,0.103994,1.04468,0.00528917,0.0105065,0.0161315,0.804615,0.41399,0.466764,0.00896111,0.184774,2.13666,-0.0006,-0.0006,0.0011,0.79233712,0.937026128,0.177371139,0.501905482,0.502181703,-0.14
CNR2,1.0,0.0,0.0330206,0.00552408,0.0386529,0.0632216,0.0665618,12.4284,0.0,0.00446767,0.255117,16.5762,0.0222496,1.24283,0.0122467,2.17679,-0.0125,-0.0028,-0.0258,0.207846448,0.000110726,0.105379175,0.500127884,0.50142072,0.09
GRIK3,1.0,3.06319,0.0749367,0.167802,0.634598,0.0336573,0.525979,0.0107116,0.00626927,0.0451767,1.1607,0.15475,1.33716,0.0170692,0.250881,1.62764,-0.00115,0.00195,-0.0006,0.767620981,0.99998017,0.256151547,0.500277564,0.500185842,-1.68
FAAH,1.0,61.6621,33.2363,2.36179,14.33,34.4063,18.038,2.72513,1.71692,8.99779,138.944,8.68259,54.3663,4.39832,29.1006,7.49371,-0.0117,-0.0336,0.0139,0.386892766,5.93e-07,0.093402374,0.500584293,0.500898755,-0.47
PDE4B,1.0,26.6753,3.55528,1.92553,3.56202,1.24352,1.52215,13.2123,7.36637,7.34427,3.2333,14.7998,2.54747,5.66715,1.42702,2.67949,0.0033499999999999,0.0002,0.0001,0.71454072,0.709078617,0.178333201,0.502220974,0.50347417,-0.69
PTGFR,1.0,0.262129,1.88412,0.292734,11.9621,0.676659,0.705891,0.023939,32.4478,1.04838,0.882628,0.365921,0.253461,0.100323,3.45795,2.20806,0.0023,0.0039,-0.0039,0.694935441,0.760040675,0.092061845,0.50188943,0.502174058,0.28
BRDT,1.0,0.0104742,0.0143879,0.0,0.0237103,0.00629905,0.00530498,0.007835,0.0,0.0,114.477,0.0256561,0.0217813,0.00792705,0.00667173,10.16474,0.0139,0.0392,-0.0024,0.464344293,2.47e-06,0.052631346,0.0,0.0,0.78
ADRA1D,1.0,0.242562,0.346661,0.135794,5.03222,0.0391764,0.355352,0.0701199,0.158206,0.345627,1.59672,2.24317,0.0710601,0.00861831,0.456157,3.27584,-0.00705,-0.0049,0.0012,0.45775098081428567,0.011966902842656906,0.078963372,0.613597857,1.0,-0.2414285714285714
TUBB1,1.0,0.179895,0.30672,0.149269,0.556933,0.308874,0.223149,0.753446,0.293367,0.0783439,3.45417,6.43843,0.929045,16.8904,0.19676,9.75564,0.0054,-0.0037,0.0062,0.724853635,7.17e-06,0.081519494,0.500406082,0.504357641,0.87
RRM2,1.0,0.0883919,0.486886,0.104622,0.264697,0.537272,22.8907,174.485,39.7728,0.0772202,6.58578,11.1039,0.301765,3.26894,1.00747,0.6879,0.00035,-0.0012499999999999,0.00165,0.824708164,0.968270921,0.053062895,0.500587018,0.501489819,-0.25
IL1R1,1.0,5.9228,20.7804,8.20175,63.823,22.6486,23.7998,1.41595,188.511,8.29977,16.2306,42.1608,12.0502,12.4309,59.0051,2.45532,-0.00255,-0.00085,0.0018,0.214144617,0.362921431,0.104614545,0.501429301,0.502458381,0.09
ROCK2,1.0,7.96655,10.3872,6.46575,31.0189,6.75914,11.4886,11.2695,36.765,23.0796,9.54924,19.4876,11.6127,1.80056,10.2005,9.60708,5e-05,0.01875,-0.0003,0.786468923,0.99999999,0.106450474,0.504183751,0.510167818,-1.02
GPD2,1.0,8.27985,6.75911,2.43283,10.8576,1.4968,25.7848,22.9876,23.2863,11.1959,10.4349,8.32753,9.0954,3.30899,4.76649,3.67045,-0.0081,-0.0005,-0.0030499999999999,0.591144443,0.000100775,0.070531428,0.500045901,0.500217639,0.22
SCN2A,1.0,1.38676,1.54609,0.0143493,0.226576,0.0255395,0.0212193,0.00953275,0.123913,0.00982898,0.357389,0.0874179,4.21768,0.00634743,0.264267,5.25209,-0.0017,-0.0006,-0.0021,0.778094649,0.999999992,0.221317229,0.50591273,0.508965611,-1.99
SCN7A,1.0,0.750552,0.523984,9.99314,22.1569,0.478821,4.27856,0.0298134,0.056484,2.15007,4.34285,2.46712,1.81284,0.0225716,2.95057,5.53258,0.0038,-0.0005,-0.0003,0.146139458,1.72e-15,0.069810845,0.500067275,0.500385998,0.86
NFE2L2,1.0,51.4208,59.3234,17.7418,90.6966,24.0384,174.265,43.8494,87.6117,29.7704,49.3762,49.334,62.6834,30.8188,48.9406,1.66331,0.01265,0.0037,0.00085,0.824708164,0.686008362,0.17263389,0.50104493,0.50176507,0.04
PDE6D,1.0,30.0113,12.2367,6.09898,18.6158,4.5045,12.1213,30.6975,17.0749,5.17556,66.9199,17.4995,24.56,7.71075,20.2727,1.08568,0.0164,-0.0163,0.0427,0.705388129,0.084496093,0.103357975,0.502495282,0.503830624,0.48
CHRND,1.0,0.0654224,0.00413278,0.0201644,0.0,0.0,0.0,0.0113366,0.0,48.0918,0.616376,0.0667503,0.0878035,0.0165113,0.0655095,2.25073,-0.0647,-0.0119,-0.0249,0.369415909,7.26e-07,0.180162134,0.500019439,0.514198318,-0.4
CHRNG,1.0,0.0112692,0.0245175,0.0,0.0280853,0.024927,0.0627142,0.0934711,0.0371075,17.0553,0.171192,0.151418,0.142751,0.0398192,0.0224781,4.61314,-0.0353,0.0002,0.0281,0.250911236,1.13e-09,0.140121038,0.500004379,0.500497079,-0.42
NDUFA10,1.0,30.0649,34.4902,50.0937,41.2536,21.826,37.9873,47.7041,44.2373,39.8612,39.3852,31.9488,39.3495,9.72085,46.5858,6.32741,-0.0046,-0.00065,-0.0014,0.24992983,0.00138794,0.116073213,0.500010968,0.500352307,0.06
KCNK3,1.0,1.29606,2.46963,0.560941,7.77762,0.279457,1.28514,0.0314508,0.0649233,0.368533,0.812116,1.58644,12.9208,0.0223808,248.278,0.41051,0.02405,0.0027,0.0274,0.6910811949999999,0.6468724378,0.079957142,0.505402002,0.506949796,-0.6871428571428575
XDH,1.0,0.00548912,0.200846,0.00904057,0.0736628,26.0548,7.61611,0.00783612,0.604859,0.0776557,0.215415,0.00953319,1.85969,0.0,0.0107264,6.67765,-0.0004,0.0016,0.0014,0.492040008,1.56e-13,0.090605551,0.501244439,0.503805654,1.29
CD80,1.0,0.123106,0.263469,0.0379345,0.0720831,0.110068,0.119011,74.2731,0.0,0.0390024,0.207522,3.30099,0.150833,0.143977,0.165819,1.86871,-0.001,-0.0012,0.00095,0.132359073,0.255224581,0.12056353,0.509626004,0.514806636,0.62
