Gene,ExomiserScore_increasedBP,BrainPutamenbasalganglia_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,Liver_GTExTPM,WholeBlood_GTExTPM,Testis_GTExTPM,AdrenalGland_GTExTPM,Effect_HF_Median,gene_damage_index_score,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,H3k4me1_count
MORN1,0.0,1.04315,1.87741,0.302008,1.18889,1.52195,0.721353,0.200105,10.0893,1.30571,-0.0310843276901192,143.76824,0.123297259,7.88e-07,0.07096543280000002,170.0
GABRD,0.50002145,30.5902,0.363888,0.26992,0.0355514,0.0239123,0.0988729,0.0543746,8.8514,1.03713,0.0168419890541346,392.70602971428565,0.836621523,0.923498878,0.139221358,136.84285714285716
PRKCZ,0.503835538,16.944,4.43702,1.99561,0.667155,0.273798,2.76152,2.62529,36.3375,5.25432,0.0111278220649835,63.44396,0.75617367,0.266923657,0.570229973,91.0
RER1,0.500411354,18.06,46.5917,20.0526,55.8946,113.459,54.0642,30.5262,80.2611,80.3853,-0.0308228650427605,4.91581,0.675177455,0.969239733,0.103413241,54.0
MIB2,0.500355036,21.0217,20.2183,20.2506,14.8695,15.5176,15.4468,13.1708,50.3071,25.1904,0.0105738243119124,882.3694272857142,0.638582647,0.000158543,0.087759263,138.92857142857142
SLC35E2,0.1500994534285714,1.29742,1.93078,1.01845,4.91127,4.2973,1.19303,1.67386,2.5759,3.96273,0.0016734592045272569,124.71343,0.277585834,0.374305908,0.05515842345714289,124.07142857142857
PRDM16,0.501007463,3.18685,8.01178,3.37537,0.0165333,0.0834729,0.144479,0.0183187,1.68931,0.26716,0.0191847894148336,1261.89174,0.774301469,0.999843194,0.106518618,69.0
TP73,0.502435007,0.247488,0.146996,0.0573745,17.5805,0.0857223,0.0906901,0.11905,2.00488,0.0600037,-0.0006427073958636,112.38972,0.850708902,0.975977778,0.126097177,26.0
PLCH2,0.0,7.57014,3.86559,0.092601,1.99168,0.133164,4.54632,2.98193,4.46292,2.14629,0.00730326611012,562.69013,0.53976059,1.71e-08,0.071315041,82.0
LRRC47,0.500372454,16.5497,19.8742,21.9305,28.9812,29.8842,18.5194,6.81868,36.5726,28.1937,-0.0132960013723633,262.97721,0.661956608,0.603832188,0.052540639,91.0
